route,stop,date,boarding,deboarding
C,Anderson Rd & Russell Blvd (NB),2012-10-08,1,66
C,Hutchison Dr & Bioletti Way (EB),2012-10-08,0,97
C,La Rue Rd & Orchard (SB),2012-10-08,15,8
C,Silo Terminal & Center Island (EB),2012-10-08,3,397
C,La Rue Rd & Orchard (NB),2012-10-08,4,19
C,Wake Forest Dr & Oxford Cir (EB),2012-10-08,100,93
C,8th St & Sycamore Ln (WB),2012-10-08,11,7
C,Hutchison & California (WB),2012-10-08,322,1
C,Hutchison & California (WB),2012-10-09,321,1
C,Wake Forest Dr & Oxford Cir (EB),2012-10-09,103,94
C,Silo Terminal & Center Island (EB),2012-10-09,0,362
C,La Rue Rd & Orchard (SB),2012-10-09,13,5
C,Wake Forest Dr & 1440 (Castillian) (EB),2012-10-09,28,36
C,Sycamore Ln & Wake Forest Dr (SB),2012-10-09,164,71
C,Hutchison Dr & Bioletti Way (EB),2012-10-09,0,72
C,Anderson Rd & Russell Blvd (NB),2012-10-09,2,47
C,8th St & Sycamore Ln (WB),2012-10-09,4,5
C,La Rue Rd & Orchard (NB),2012-10-09,3,16
C,Sycamore Ln & Wake Forest Dr (SB),2012-10-10,146,61
C,8th St & Sycamore Ln (WB),2012-10-10,8,8
C,La Rue Rd & Orchard (NB),2012-10-10,5,25
C,Wake Forest Dr & Oxford Cir (EB),2012-10-10,107,99
C,Hutchison Dr & Bioletti Way (EB),2012-10-10,0,79
C,Silo Terminal & Center Island (EB),2012-10-10,59,395
C,Wake Forest Dr & 1440 (Castillian) (EB),2012-10-10,20,21
C,Hutchison & California (WB),2012-10-10,316,0
C,Anderson Rd & Russell Blvd (NB),2012-10-10,2,60
C,La Rue Rd & Orchard (SB),2012-10-10,13,5
C,8th St & Sycamore Ln (WB),2012-10-11,4,7
C,La Rue Rd & Orchard (SB),2012-10-11,7,16
